isClosed,active_days,first_funding_days,founded_year,first_milestone_at,milestones,funding_total_usd,category_web,lng,relationships,lat,funding_rounds,country_USA,category_network_hosting,country_code_generalized,category_other,category_public_relations,country_other,category_games_video,category_analytics,category_education,category_travel,category_semiconductor,country_FRA,country_ESP,category_social,category_biotech,category_finance,category_health,category_music,target
1,5475.0,5655.0,2006,2010,2.0,2500000.0,1,-122.4194155,7.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6327.0,2011,2012,1.0,267835.75,0,-122.4194155,5.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,5110.0,5655.0,2007,2008,1.0,350000.0,1,-122.1817252,2.0,37.4529598,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,6444.0,2008,2009,3.0,3100000.0,0,-122.0363496,5.0,37.36883,1.0,1,0,0.6983338205203157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2007,2009,1.0,267835.75,1,-122.0838511,1.0,37.3860517,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5110.0,5655.0,2007,2008,2.0,280000.0,0,-83.9207392,2.0,35.9606384,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4380.0,6171.0,2009,2010,1.0,720000.0,0,37.6172999,3.0,55.755826,1.0,0,0,0.009061677871967261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,6201.0,2011,2012,2.0,3400000.0,1,-74.0059728,7.0,40.7127753,3.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3650.0,6201.0,2011,2013,1.0,3268000.0,0,-74.0059728,9.0,40.7127753,3.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,6201.0,2011,2011,1.0,267835.75,0,-122.4194155,2.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4745.0,5655.0,2008,2008,2.0,1000000.0,0,-122.4194155,3.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5110.0,5655.0,2007,2007,2.0,500000.0,1,-122.4194155,6.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6079.0,2011,2011,2.0,267835.75,0,-80.8431267,1.0,35.2270869,1.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,4015.0,5655.0,2007,2007,2.0,1750000.0,0,-87.6297982,3.0,41.8781136,2.0,1,0,0.6983338205203157,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5110.0,5655.0,2007,2008,1.0,267835.75,1,-118.2436849,2.0,34.0522342,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2007,2008,2.0,1100000.0,0,-122.4194155,3.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4745.0,6110.0,2008,2008,1.0,267835.75,0,-74.0059728,1.0,40.7127753,1.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,6462.0,2011,2012,3.0,1200000.0,0,-74.0059728,9.0,40.7127753,1.0,1,0,0.6983338205203157,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,4015.0,6140.0,2011,2011,2.0,267835.75,0,8.81667,7.0,47.1,1.0,0,0,0.08798596901490792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4745.0,5655.0,2008,2009,1.0,1300000.0,0,-122.3320708,3.0,47.6062095,2.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,5655.0,2008,2008,3.0,3000000.0,0,34.824785,4.0,32.068424,1.0,0,0,0.019877228880444315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,6267.0,2011,2011,1.0,267835.75,0,-122.1430195,2.0,37.4418834,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3650.0,6584.0,2011,2011,1.0,895000.0,0,-122.4194155,3.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5110.0,5655.0,2007,2007,1.0,3242399.0,0,0.121817,2.0,52.205337,3.0,0,0,0.06883952060800935,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,4015.0,5954.0,2010,2010,1.0,2475000.0,0,-88.019826,2.0,44.519159,3.0,1,0,0.6983338205203157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2008,2009,1.0,509412.0,1,-122.0321823,3.0,37.3229978,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3285.0,6659.0,2012,2012,2.0,1700000.0,0,-74.0059728,7.0,40.7127753,1.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6274.0,2011,2011,1.0,900000.0,0,28.9783589,3.0,41.0082376,1.0,0,0,0.08798596901490792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,6659.0,2008,2008,2.0,267835.75,0,-96.7969879,2.0,32.7766642,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2007,2009,1.0,3400000.0,1,-122.4194155,6.0,37.7749295,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4380.0,6659.0,2009,2012,2.0,3400000.0,0,-122.2710788,5.0,37.5585465,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4380.0,6275.0,2009,2009,1.0,3400000.0,0,2.3522219,2.0,48.856614,2.0,0,0,0.022215726395790704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,3650.0,6051.0,2011,2013,1.0,1200000.0,0,-122.4194155,3.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5673.0,2008,2010,2.0,3400000.0,0,-74.0059728,9.0,40.7127753,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5110.0,5655.0,2007,2007,1.0,811057.0,0,-3.992534,4.0,55.945668,1.0,0,0,0.06883952060800935,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,6201.0,2010,2010,1.0,267835.75,1,-87.6297982,3.0,41.8781136,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,6659.0,2010,2010,2.0,3400000.0,0,-122.0363496,4.0,37.36883,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,6659.0,2010,2011,1.0,3400000.0,1,-71.0588801,5.0,42.3600825,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5110.0,5942.0,2007,2007,1.0,500000.0,0,-80.1300455,1.0,25.790654,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6406.0,2011,2012,2.0,267835.75,0,-89.2167501,7.0,37.7272727,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,5655.0,2010,2012,2.0,750000.0,0,35.21371,5.0,31.768319,1.0,0,0,0.019877228880444315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,5655.0,2008,2009,1.0,1500000.0,0,-0.1277583,1.0,51.5073509,1.0,0,0,0.06883952060800935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6416.0,2011,2011,1.0,267835.75,0,-122.3916754,3.0,40.5865396,2.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5110.0,6659.0,2007,2013,1.0,3400000.0,0,-122.4194155,7.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,6567.0,2011,2013,1.0,500000.0,0,-74.0059728,6.0,40.7127753,1.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5110.0,5764.0,2007,2013,2.0,3400000.0,0,2.1734035,6.0,41.3850639,2.0,0,0,0.017831043554516222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,3650.0,6537.0,2011,2010,2.0,267835.75,0,77.3910265,2.0,28.5355161,1.0,0,0,0.08798596901490792,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,4380.0,6039.0,2009,2009,2.0,296384.0,0,13.404954,4.0,52.5200066,1.0,0,0,0.01900029231218942,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,5110.0,6115.0,2007,2011,2.0,3400000.0,0,-122.3320708,9.0,47.6062095,3.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,6311.0,2010,2010,1.0,2750000.0,0,37.6172999,2.0,55.755826,1.0,0,0,0.009061677871967261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,4745.0,5724.0,2008,2008,2.0,3400000.0,0,-121.9780153,6.0,37.7799273,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6079.0,2011,2011,1.0,267835.75,0,-74.0059728,2.0,40.7127753,1.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5110.0,6495.0,2007,2013,1.0,3400000.0,0,-75.6971931,8.0,45.4215296,2.0,0,0,0.039023677287342885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6293.0,2011,2011,1.0,700000.0,0,-122.4194155,2.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,6232.0,2008,2011,1.0,267835.75,0,-74.0059728,3.0,40.7127753,1.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,6248.0,2011,2011,1.0,267835.75,1,-83.3977101,3.0,41.9164343,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3650.0,6282.0,2011,2011,1.0,3400000.0,0,-0.1277583,7.0,51.5073509,2.0,0,0,0.06883952060800935,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,3650.0,5655.0,2011,2008,1.0,267835.75,0,-74.0059728,3.0,40.7127753,1.0,1,0,0.6983338205203157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,6659.0,2008,2012,2.0,3400000.0,0,-111.6585337,7.0,40.2338438,2.0,1,0,0.6983338205203157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,5655.0,2008,2009,3.0,3400000.0,0,-122.4194155,7.0,37.7749295,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2008,2011,3.0,2300000.0,0,-122.4194155,4.0,37.7749295,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3650.0,6171.0,2011,2011,1.0,267835.75,0,-84.5037164,4.0,38.0405837,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5475.0,5655.0,2006,2012,2.0,3400000.0,0,126.9779692,5.0,37.566535,2.0,0,0,0.08798596901490792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6176.0,2011,2011,2.0,1725000.0,0,-74.0059728,2.0,40.7127753,3.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
