funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,lat,lng,founded_year,category_advertising,category_analytics,category_ecommerce,category_education,category_enterprise,category_games_video,category_mobile,category_other,category_social,category_software,category_web,category_automotive,category_biotech,category_cleantech,category_consulting,category_design,category_fashion,category_finance,category_government,category_hardware,category_health,category_hospitality,category_legal,category_local,category_manufacturing,category_medical,category_messaging,category_music,category_nanotech,category_network_hosting,category_news,category_nonprofit,category_pets,category_photo_video,category_public_relations,category_real_estate,category_search,category_security,category_semiconductor,category_sports,category_transportation,category_travel,country_code_generalized,country_CAN,country_DEU,country_ESP,country_FRA,country_GBR,country_IRL,country_ISR,country_NLD,country_RUS,country_USA,country_other,isClosed,active_years,active_days,target,first_funding_days,last_funding_days
3.0,10125293.0,2010,2010,1.0,6.0,30.267153,-97.7430608,2003,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,18.0,6570.0,1,6086.0,6410.0
1.0,1500000.0,2010,2010,1.0,8.0,47.6101497,-122.2015159,2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,17.0,6205.0,1,6268.0,6268.0
1.0,2500000.0,2010,2012,2.0,7.0,37.7749295,-122.4194155,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,15.0,5475.0,1,4832.0,4832.0
1.0,40000.0,2012,2012,1.0,5.0,37.7749295,-122.4194155,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,10.0,3650.0,1,6327.0,6327.0
1.0,350000.0,2008,2008,1.0,2.0,37.4529598,-122.1817252,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,14.0,5110.0,1,4863.0,4863.0
1.0,3100000.0,2009,2012,3.0,5.0,37.36883,-122.0363496,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,13.0,4745.0,1,6444.0,6444.0
1.0,100000.0,2009,2009,1.0,1.0,37.3860517,-122.0838511,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,0,12.133344803854095,4015.0,0,4559.0,4559.0
1.0,280000.0,2008,2009,2.0,2.0,35.9606384,-83.9207392,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,14.0,5110.0,1,5101.0,5101.0
1.0,720000.0,2010,2010,1.0,3.0,55.755826,37.6172999,2009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUS,0,0,0,0,0,0,0,0,1,0,0,1,12.0,4380.0,1,6171.0,6171.0
3.0,4000000.0,2012,2013,2.0,7.0,40.7127753,-74.0059728,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,0,12.133344803854095,4015.0,0,6201.0,6834.0
3.0,3268000.0,2013,2013,1.0,9.0,40.7127753,-74.0059728,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,10.0,3650.0,1,6201.0,6901.0
1.0,8500000.0,2009,2009,1.0,2.0,42.3370413,-71.2092214,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,24.0,8760.0,1,4707.0,4707.0
